CLIENTE,TIPO-PETICION,CANTIDAD-PETICIONES
ADM,INSERT,0
ADM,SELECT,0
ADM,UPDATE,0
AMDDOCS,INSERT,0
AMDDOCS,SELECT,0
AMDDOCS,UPDATE,0
ANDROIDARG,INSERT,0
ANDROIDARG,SELECT,0
ANDROIDARG,UPDATE,0
API_NMX,INSERT,0
API_NMX,SELECT,0
API_NMX,UPDATE,0
API_SPEC,INSERT,0
API_SPEC,SELECT,0
API_SPEC,UPDATE,0
APITEMIP,INSERT,0
APITEMIP,SELECT,0
APITEMIP,UPDATE,0
AUTOALARM,INSERT,0
AUTOALARM,SELECT,0
AUTOALARM,UPDATE,0
AUTOMATACOR,INSERT,0
AUTOMATACOR,SELECT,0
AUTOMATACOR,UPDATE,0
AUTONORMA,INSERT,0
AUTONORMA,SELECT,0
AUTONORMA,UPDATE,0
AUTORM,INSERT,0
AUTORM,SELECT,0
AUTORM,UPDATE,0
BANNERCOR,INSERT,0
BANNERCOR,SELECT,0
BANNERCOR,UPDATE,0
BCOR,INSERT,0
BCOR,SELECT,0
BCOR,UPDATE,0
BPMARG,INSERT,0
BPMARG,SELECT,0
BPMARG,UPDATE,0
CHANGEARG,INSERT,0
CHANGEARG,SELECT,0
CHANGEARG,UPDATE,0
CISAP,INSERT,0
CISAP,SELECT,0
CISAP,UPDATE,0
CNS,INSERT,0
CNS,SELECT,0
CNS,UPDATE,0
COMER,INSERT,0
COMER,SELECT,0
COMER,UPDATE,0
COR,INSERT,0
COR,SELECT,0
COR,UPDATE,0
CORP_PPAS,INSERT,0
CORP_PPAS,SELECT,0
CORP_PPAS,UPDATE,0
CPDSD,INSERT,0
CPDSD,SELECT,0
CPDSD,UPDATE,0
CROTALO,INSERT,0
CROTALO,SELECT,0
CROTALO,UPDATE,0
CRQVENTANAS,INSERT,0
CRQVENTANAS,SELECT,0
CRQVENTANAS,UPDATE,0
DEFAULT,INSERT,0
DEFAULT,SELECT,0
DEFAULT,UPDATE,0
DSBLPWD,INSERT,0
DSBLPWD,SELECT,0
DSBLPWD,UPDATE,0
EMCSMA,INSERT,0
EMCSMA,SELECT,0
EMCSMA,UPDATE,0
EMCSMAD,INSERT,0
EMCSMAD,SELECT,0
EMCSMAD,UPDATE,0
EVAUSER,INSERT,0
EVAUSER,SELECT,0
EVAUSER,UPDATE,0
FMXUSER,INSERT,1440
FMXUSER,SELECT,0
FMXUSER,UPDATE,0
FMXUSERCRI,INSERT,0
FMXUSERCRI,SELECT,0
FMXUSERCRI,UPDATE,0
FMXUSERGT,INSERT,0
FMXUSERGT,SELECT,0
FMXUSERGT,UPDATE,0
FMXUSERHND,INSERT,0
FMXUSERHND,SELECT,0
FMXUSERHND,UPDATE,0
FMXUSERNIC,INSERT,0
FMXUSERNIC,SELECT,0
FMXUSERNIC,UPDATE,0
FMXUSERSLV,INSERT,0
FMXUSERSLV,SELECT,0
FMXUSERSLV,UPDATE,0
FMXUSER2,INSERT,0
FMXUSER2,SELECT,0
FMXUSER2,UPDATE,0
FMXUSER3,INSERT,0
FMXUSER3,SELECT,0
FMXUSER3,UPDATE,0
FUERZA,INSERT,0
FUERZA,SELECT,0
FUERZA,UPDATE,0
GANDALFARG,INSERT,0
GANDALFARG,SELECT,0
GANDALFARG,UPDATE,0
GMGLOBAL,INSERT,0
GMGLOBAL,SELECT,0
GMGLOBAL,UPDATE,0
GNRT.AR,INSERT,0
GNRT.AR,SELECT,0
GNRT.AR,UPDATE,0
HPOVP,INSERT,0
HPOVP,SELECT,0
HPOVP,UPDATE,0
IDM,INSERT,0
IDM,SELECT,0
IDM,UPDATE,0
IIS,INSERT,0
IIS,SELECT,0
IIS,UPDATE,0
INVNETCRAKER,INSERT,0
INVNETCRAKER,SELECT,0
INVNETCRAKER,UPDATE,0
IRMA,INSERT,0
IRMA,SELECT,0
IRMA,UPDATE,0
IRMAS,INSERT,0
IRMAS,SELECT,0
IRMAS,UPDATE,0
IXTOOLS,INSERT,0
IXTOOLS,SELECT,0
IXTOOLS,UPDATE,0
LEDZITEARG,INSERT,0
LEDZITEARG,SELECT,0
LEDZITEARG,UPDATE,0
MANTENIMIENTOS,INSERT,0
MANTENIMIENTOS,SELECT,0
MANTENIMIENTOS,UPDATE,0
MASIVOS,INSERT,0
MASIVOS,SELECT,0
MASIVOS,UPDATE,0
MATARG,INSERT,0
MATARG,SELECT,0
MATARG,UPDATE,0
METRICASARG,INSERT,0
METRICASARG,SELECT,0
METRICASARG,UPDATE,0
MRV_PROVISION,INSERT,0
MRV_PROVISION,SELECT,0
MRV_PROVISION,UPDATE,0
MSTRATEGY,INSERT,0
MSTRATEGY,SELECT,0
MSTRATEGY,UPDATE,0
NETACT_ALR,INSERT,0
NETACT_ALR,SELECT,0
NETACT_ALR,UPDATE,0
NETACT_ELM,INSERT,0
NETACT_ELM,SELECT,0
NETACT_ELM,UPDATE,0
NETACTUS,INSERT,0
NETACTUS,SELECT,0
NETACTUS,UPDATE,0
NETCAS,INSERT,0
NETCAS,SELECT,0
NETCAS,UPDATE,0
NETCRACKER,INSERT,0
NETCRACKER,SELECT,0
NETCRACKER,UPDATE,0
ORIONARG,INSERT,0
ORIONARG,SELECT,0
ORIONARG,UPDATE,0
OSSCC,INSERT,0
OSSCC,SELECT,0
OSSCC,UPDATE,0
OYMALARMAS,INSERT,0
OYMALARMAS,SELECT,0
OYMALARMAS,UPDATE,0
PBX,INSERT,0
PBX,SELECT,0
PBX,UPDATE,0
PBX,INSERT,0
PBX,SELECT,0
PBX,UPDATE,0
PROVISION,INSERT,0
PROVISION,SELECT,0
PROVISION,UPDATE,0
PRUEBASR19,INSERT,0
PRUEBASR19,SELECT,0
PRUEBASR19,UPDATE,0
RCMESA,INSERT,0
RCMESA,SELECT,0
RCMESA,UPDATE,0
REQRUTINAS,INSERT,0
REQRUTINAS,SELECT,0
REQRUTINAS,UPDATE,0
RM,INSERT,0
RM,SELECT,0
RM,UPDATE,0
RMCRI,INSERT,0
RMCRI,SELECT,0
RMCRI,UPDATE,0
RMDOM,INSERT,0
RMDOM,SELECT,0
RMDOM,UPDATE,0
RMGTM,INSERT,0
RMGTM,SELECT,0
RMGTM,UPDATE,0
RMHND,INSERT,0
RMHND,SELECT,0
RMHND,UPDATE,0
RMNIC,INSERT,0
RMNIC,SELECT,0
RMNIC,UPDATE,0
RM_ORCHES,INSERT,0
RM_ORCHES,SELECT,0
RM_ORCHES,UPDATE,0
RMORCHES,INSERT,0
RMORCHES,SELECT,0
RMORCHES,UPDATE,0
RMPAM,INSERT,0
RMPAM,SELECT,0
RMPAM,UPDATE,0
RMPRI,INSERT,0
RMPRI,SELECT,0
RMPRI,UPDATE,0
RMSLV,INSERT,0
RMSLV,SELECT,0
RMSLV,UPDATE,0
SAFEARG,INSERT,0
SAFEARG,SELECT,0
SAFEARG,UPDATE,0
SAGOM,INSERT,0
SAGOM,SELECT,0
SAGOM,UPDATE,0
SAGOM,INSERT,0
SAGOM,SELECT,0
SAGOM,UPDATE,0
SAM5620,INSERT,0
SAM5620,SELECT,0
SAM5620,UPDATE,0
SAPARG,INSERT,0
SAPARG,SELECT,0
SAPARG,UPDATE,0
SCROM,INSERT,0
SCROM,SELECT,0
SCROM,UPDATE,0
SDINTEGR,INSERT,0
SDINTEGR,SELECT,0
SDINTEGR,UPDATE,0
SEGROAMING,INSERT,0
SEGROAMING,SELECT,0
SEGROAMING,UPDATE,0
SEGSERVICES,INSERT,0
SEGSERVICES,SELECT,0
SEGSERVICES,UPDATE,0
SENOCARG,INSERT,0
SENOCARG,SELECT,0
SENOCARG,UPDATE,0
SERVGLB,INSERT,0
SERVGLB,SELECT,0
SERVGLB,UPDATE,0
SGP,INSERT,0
SGP,SELECT,0
SGP,UPDATE,0
SIAC,INSERT,0
SIAC,SELECT,0
SIAC,UPDATE,0
SIAPI,INSERT,0
SIAPI,SELECT,0
SIAPI,UPDATE,0
SIEUUSER,INSERT,0
SIEUUSER,SELECT,0
SIEUUSER,UPDATE,0
SIEUUSER,INSERT,0
SIEUUSER,SELECT,0
SIEUUSER,UPDATE,0
SIRSITIOS,INSERT,0
SIRSITIOS,SELECT,0
SIRSITIOS,UPDATE,0
SITIOS,INSERT,0
SITIOS,SELECT,0
SITIOS,UPDATE,0
SITIOSCAIDOS,INSERT,0
SITIOSCAIDOS,SELECT,0
SITIOSCAIDOS,UPDATE,0
SMART,INSERT,0
SMART,SELECT,0
SMART,UPDATE,0
SMARTARG,INSERT,0
SMARTARG,SELECT,0
SMARTARG,UPDATE,0
SMCENAM,INSERT,0
SMCENAM,SELECT,0
SMCENAM,UPDATE,0
SOFTALARM,INSERT,0
SOFTALARM,SELECT,0
SOFTALARM,UPDATE,0
SOPORTEGCP,INSERT,0
SOPORTEGCP,SELECT,0
SOPORTEGCP,UPDATE,0
SQMARG,INSERT,0
SQMARG,SELECT,0
SQMARG,UPDATE,0
STARUSR1,INSERT,0
STARUSR1,SELECT,0
STARUSR1,UPDATE,0
STARUSR2,INSERT,0
STARUSR2,SELECT,0
STARUSR2,UPDATE,0
STEALTHARG,INSERT,0
STEALTHARG,SELECT,0
STEALTHARG,UPDATE,0
SYNC,INSERT,0
SYNC,SELECT,0
SYNC,UPDATE,0
TEMIP,INSERT,0
TEMIP,SELECT,0
TEMIP,UPDATE,0
TEMIPAMX,INSERT,0
TEMIPAMX,SELECT,0
TEMIPAMX,UPDATE,0
TEMIPARG,INSERT,0
TEMIPARG,SELECT,3
TEMIPARG,UPDATE,0
TEMIPCOL,INSERT,0
TEMIPCOL,SELECT,0
TEMIPCOL,UPDATE,0
TEMIPCRI,INSERT,0
TEMIPCRI,SELECT,0
TEMIPCRI,UPDATE,0
TEMIPDOM,INSERT,0
TEMIPDOM,SELECT,0
TEMIPDOM,UPDATE,0
TEMIPGTM,INSERT,0
TEMIPGTM,SELECT,0
TEMIPGTM,UPDATE,0
TEMIPHND,INSERT,0
TEMIPHND,SELECT,0
TEMIPHND,UPDATE,0
TEMIPNIC,INSERT,0
TEMIPNIC,SELECT,0
TEMIPNIC,UPDATE,0
TEMIPPAN,INSERT,0
TEMIPPAN,SELECT,0
TEMIPPAN,UPDATE,0
TEMIPPRI,INSERT,0
TEMIPPRI,SELECT,0
TEMIPPRI,UPDATE,0
TEMIPSLV,INSERT,0
TEMIPSLV,SELECT,0
TEMIPSLV,UPDATE,0
TRANSFORMA,INSERT,0
TRANSFORMA,SELECT,0
TRANSFORMA,UPDATE,0
TRCONTROL,INSERT,0
TRCONTROL,SELECT,0
TRCONTROL,UPDATE,0
TXESTADISTICAS,INSERT,0
TXESTADISTICAS,SELECT,0
TXESTADISTICAS,UPDATE,0
UCA_USER,INSERT,0
UCA_USER,SELECT,0
UCA_USER,UPDATE,0
UOCARG,INSERT,0
UOCARG,SELECT,0
UOCARG,UPDATE,0
USERE2E,INSERT,0
USERE2E,SELECT,0
USERE2E,UPDATE,0
USERMEDI,INSERT,0
USERMEDI,SELECT,0
USERMEDI,UPDATE,0
VGE31BD,INSERT,0
VGE31BD,SELECT,0
VGE31BD,UPDATE,0
VIHSEG,INSERT,0
VIHSEG,SELECT,0
VIHSEG,UPDATE,0
VLADD,INSERT,0
VLADD,SELECT,0
VLADD,UPDATE,0
WEBCOBARG,INSERT,0
WEBCOBARG,SELECT,0
WEBCOBARG,UPDATE,0
WIR.AR,INSERT,0
WIR.AR,SELECT,0
WIR.AR,UPDATE,0
